TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Trabalho e Emprego,Carga Horária,,Qual a média de horas trabalhadas semanalmente de todas as pessoas de 14 anos ou mais de idade em Salvador?,cargahoraria_total.csv,,"https://apisidra.ibge.gov.br/values/t/6406/n6/2927408/v/8186,8188,8190,8192/p/all/c86/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,padrão,Média de horas trabalhadas total
Trabalho e Emprego,Carga Horária,,Qual a média de horas trabalhadas semanalmente de pessoas de 14 anos ou mais de idade organizado por raça/cor em Salvador?,cargahoraria_raçacor.csv,,"https://apisidra.ibge.gov.br/values/t/6406/n6/2927408/v/8186,8188,8190,8192/p/all/c86/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,barra lado a lado,Média de horas trabalhadas por raça/cor
Trabalho e Emprego,Carga Horária,,Qual a média de horas trabalhadas semanalmente de pessoas de 14 anos ou mais de idade organizado por sexo biológico em Salvador?,cargahoraria_sexo.csv,,"http://api.sidra.ibge.gov.br/values/t/6371/n6/2927408/v/8186,8188,8190,8192/p/all/c2/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,barra lado a lado,Média de horas trabalhadas por sexo biológico
Trabalho e Emprego,Carga Horária,,Qual a média de horas trabalhadas semanalmente de pessoas de 14 anos ou mais organizado por idade em Salvador?,cargahoraria_idade.csv,,"https://apisidra.ibge.gov.br/values/t/6372/n6/2927408/v/8186,8188,8190,8192/p/all/c58/allxt?formato=json",(re)Conhecendo Salvador,,,trimestral,barra lado a lado,Média de horas trabalhadas por idade
